Canal	Agua		Sal		Oleo		Gas		Back		Total
103	15000000	48200000	20400000	33800000	15700000	129000000	
104	14100000	40700000	19200000	31900000	15100000	118000000	
105	13500000	34500000	18400000	30400000	14600000	109000000	
106	13000000	30000000	17700000	29400000	14300000	102000000	
107	12700000	26900000	17300000	28700000	14100000	98200000	
108	12500000	24900000	17000000	28200000	14000000	95300000	
109	12300000	23800000	16800000	27800000	13900000	93400000	
110	12200000	23000000	16500000	27400000	13800000	91900000	
111	12000000	22500000	16300000	27100000	13700000	90700000	
112	11900000	22100000	16100000	26800000	13600000	89600000	
113	11700000	21800000	15900000	26400000	13400000	88500000	
114	11600000	21500000	15800000	26100000	13300000	87500000	
115	11500000	21300000	15600000	25900000	13100000	86500000	
116	11400000	21100000	15400000	25600000	12900000	85500000	
117	11200000	20900000	15200000	25300000	12800000	84600000	
118	11100000	20700000	15100000	25100000	12600000	83800000	
119	11000000	20500000	14900000	24800000	12300000	82900000	
120	10900000	20300000	14800000	24600000	12100000	82000000	
121	10800000	20100000	14600000	24300000	11900000	81100000	
122	10700000	19900000	14500000	24100000	11700000	80200000	
123	10600000	19700000	14400000	23800000	11500000	79300000	
124	10500000	19400000	14200000	23600000	11300000	78300000	
125	10400000	19200000	14100000	23400000	11200000	77400000	
126	10300000	18900000	13900000	23100000	11100000	76600000	
127	10200000	18700000	13800000	22900000	11100000	75700000	
128	10100000	18500000	13700000	22700000	11000000	75000000	
129	10000000	18300000	13600000	22500000	10900000	74200000	
130	9910000	18100000	13500000	22400000	10900000	73600000	
131	9830000	18000000	13400000	22200000	10800000	72900000	
132	9750000	17800000	13300000	22000000	10700000	72300000	
133	9670000	17600000	13200000	21800000	10600000	71700000	
134	9590000	17500000	13100000	21700000	10500000	71200000	
135	9510000	17400000	13000000	21500000	10400000	70600000	
136	9440000	17300000	12900000	21300000	10300000	70100000	
137	9370000	17300000	12800000	21200000	10300000	69700000	
138	9300000	17400000	12700000	21000000	10200000	69300000	
139	9230000	17700000	12600000	20800000	10100000	69200000	
140	9160000	18300000	12500000	20700000	10000000	69200000	
141	9090000	19200000	12400000	20500000	9960000	69600000	
142	9020000	20600000	12300000	20400000	9900000	70400000	
143	8960000	22400000	12200000	20200000	9860000	71600000	
144	8890000	24600000	12100000	20000000	9850000	73100000	
145	8820000	26900000	12000000	19900000	9860000	74800000	
146	8760000	29200000	11900000	19700000	9900000	76600000	
147	8690000	31000000	11800000	19600000	9970000	77900000	
148	8630000	32200000	11700000	19400000	10000000	78700000	
149	8570000	32400000	11600000	19300000	10100000	78600000	
150	8510000	31600000	11500000	19200000	10200000	77700000	
151	8450000	29900000	11500000	19000000	10200000	75900000	
152	8400000	27500000	11400000	18900000	10200000	73500000	
153	8350000	24800000	11300000	18800000	10100000	70800000	
154	8300000	22200000	11300000	18700000	10100000	68100000	
155	8250000	19700000	11200000	18600000	9950000	65600000	
156	8200000	17700000	11100000	18500000	9820000	63500000	
157	8160000	16200000	11100000	18400000	9690000	61800000	
158	8120000	15100000	11000000	18300000	9550000	60500000	
159	8080000	14400000	10900000	18200000	9420000	59600000	
160	8040000	13900000	10900000	18100000	9280000	58800000	
161	8000000	13700000	10800000	18000000	9140000	58300000	
162	7960000	13500000	10800000	17900000	9000000	57800000	
163	7910000	13500000	10700000	17800000	8860000	57300000	
164	7870000	13400000	10700000	17700000	8710000	56900000	
165	7820000	13400000	10600000	17600000	8570000	56400000	
166	7770000	13300000	10500000	17500000	8430000	56000000	
167	7720000	13300000	10500000	17400000	8290000	55600000	
168	7670000	13200000	10400000	17300000	8150000	55200000	
169	7620000	13100000	10400000	17200000	8000000	54800000	
170	7570000	13000000	10300000	17100000	7860000	54400000	
171	7530000	12900000	10200000	17000000	7710000	54000000	
172	7480000	12800000	10200000	16900000	7570000	53600000	
173	7440000	12700000	10100000	16800000	7440000	53300000	
174	7400000	12500000	10100000	16700000	7320000	52900000	
175	7360000	12300000	10000000	16600000	7220000	52500000	
176	7320000	12100000	9980000	16500000	7130000	52100000	
177	7280000	11900000	9930000	16500000	7050000	51700000	
178	7240000	11700000	9880000	16400000	7000000	51300000	
179	7210000	11500000	9830000	16300000	6960000	50900000	
180	7170000	11300000	9780000	16200000	6930000	50500000	
181	7130000	11100000	9730000	16100000	6930000	50200000	
182	7100000	11000000	9670000	16000000	6940000	49900000	
183	7060000	10800000	9620000	16000000	6970000	49600000	
184	7030000	10700000	9580000	15900000	7010000	49400000	
185	7000000	10600000	9530000	15800000	7050000	49200000	
186	6970000	10500000	9490000	15700000	7100000	49000000	
187	6950000	10400000	9450000	15700000	7130000	48900000	
188	6920000	10300000	9410000	15600000	7140000	48700000	
189	6900000	10200000	9380000	15600000	7120000	48500000	
190	6870000	10100000	9350000	15500000	7060000	48300000	
191	6850000	10100000	9310000	15400000	6960000	48100000	
192	6820000	10000000	9280000	15400000	6840000	47800000	
193	6800000	9930000	9260000	15300000	6700000	47500000	
194	6780000	9860000	9230000	15300000	6540000	47200000	
195	6760000	9780000	9200000	15300000	6390000	46900000	
196	6740000	9700000	9180000	15200000	6250000	46500000	
197	6720000	9620000	9150000	15200000	6130000	46200000	
198	6710000	9550000	9130000	15100000	6040000	45900000	
199	6690000	9490000	9100000	15100000	5970000	45600000	
200	6670000	9450000	9070000	15000000	5930000	45400000	
201	6660000	9440000	9040000	15000000	5920000	45200000	
202	6640000	9470000	9010000	14900000	5920000	45100000	
203	6610000	9560000	8970000	14900000	5930000	45100000	
204	6590000	9740000	8930000	14800000	5950000	45100000	
205	6570000	10000000	8900000	14800000	5960000	45300000	
206	6540000	10500000	8860000	14700000	5970000	45500000	
207	6520000	11100000	8830000	14700000	5970000	46000000	
208	6490000	12000000	8800000	14600000	5960000	46600000	
209	6470000	13100000	8770000	14600000	5940000	47400000	
210	6460000	14400000	8750000	14500000	5900000	48500000	
211	6450000	15900000	8740000	14500000	5850000	49700000	
212	6450000	17500000	8740000	14500000	5790000	51100000	
213	6460000	19100000	8760000	14500000	5720000	52500000	
214	6490000	20600000	8810000	14600000	5650000	53900000	
215	6550000	21700000	8880000	14700000	5570000	55200000	
216	6630000	22500000	8990000	14900000	5490000	56200000	
217	6730000	22800000	9120000	15200000	5420000	57000000	
218	6850000	22600000	9290000	15400000	5340000	57400000	
219	6980000	21900000	9460000	15700000	5270000	57300000	
220	7110000	20800000	9640000	16000000	5210000	56900000	
221	7220000	19300000	9790000	16300000	5160000	56200000	
222	7300000	17700000	9900000	16400000	5120000	55100000	
223	7340000	16000000	9960000	16500000	5090000	53800000	
224	7330000	14400000	9950000	16500000	5070000	52300000	
225	7270000	12900000	9880000	16400000	5050000	50700000	
226	7180000	11600000	9760000	16200000	5030000	49200000	
227	7060000	10600000	9620000	15900000	5000000	47700000	
228	6920000	9770000	9450000	15700000	4970000	46300000	
229	6790000	9170000	9290000	15400000	4940000	45200000	
230	6670000	8740000	9150000	15100000	4890000	44200000	
231	6560000	8460000	9030000	14900000	4840000	43400000	
232	6480000	8280000	8930000	14700000	4780000	42900000	
233	6420000	8180000	8860000	14600000	4720000	42500000	
234	6370000	8130000	8810000	14500000	4650000	42200000	
235	6340000	8130000	8770000	14400000	4580000	41900000	
236	6320000	8140000	8740000	14400000	4520000	41800000	
237	6300000	8170000	8710000	14300000	4460000	41700000	
238	6290000	8210000	8690000	14300000	4410000	41600000	
239	6280000	8250000	8660000	14300000	4360000	41500000	
240	6280000	8280000	8640000	14300000	4320000	41400000	
241	6270000	8300000	8610000	14200000	4280000	41300000	
242	6270000	8310000	8590000	14200000	4240000	41200000	
243	6260000	8300000	8570000	14200000	4210000	41100000	
244	6260000	8270000	8550000	14200000	4180000	41000000	
245	6250000	8220000	8530000	14100000	4150000	40900000	
246	6240000	8150000	8510000	14100000	4130000	40700000	
247	6240000	8060000	8490000	14100000	4100000	40600000	
248	6230000	7950000	8480000	14100000	4080000	40400000	
249	6230000	7830000	8470000	14000000	4060000	40300000	
250	6220000	7710000	8460000	14000000	4040000	40100000	
251	6210000	7580000	8440000	14000000	4030000	39900000	
252	6210000	7450000	8440000	14000000	4010000	39800000	
253	6200000	7330000	8430000	14000000	3990000	39600000	
254	6190000	7210000	8420000	14000000	3970000	39500000	
255	6190000	7100000	8410000	14000000	3950000	39300000	
256	6180000	7000000	8410000	14000000	3920000	39200000	
257	6180000	6920000	8400000	13900000	3910000	39000000	
258	6180000	6840000	8400000	13900000	3890000	38900000	
259	6170000	6780000	8390000	13900000	3870000	38800000	
260	6170000	6740000	8390000	13900000	3860000	38700000	
261	6160000	6710000	8380000	13900000	3860000	38700000	
